national,work_type,state,lot_size,price,unit,notes,source,last_updated,tier,tier_label,tier_note,region_override
HUD,Grass Cut - Initial,Alabama,1-10000 sf,70.0,per cut,,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Initial,Alabama,10001-20000 sf,90.0,per cut,,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Recut,Alabama,1-10000 sf,65.0,per cut,,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Recut,Alabama,10001-20000 sf,85.0,per cut,,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Initial,Alaska,1-10000 sf,100.0,per cut,June 1 - Sept 30 only,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Initial,Alaska,10001-20000 sf,120.0,per cut,June 1 - Sept 30 only,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Recut,Alaska,1-10000 sf,95.0,per cut,June 1 - Sept 30 only,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Recut,Alaska,10001-20000 sf,115.0,per cut,June 1 - Sept 30 only,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Initial,Arizona,1-10000 sf,75.0,per cut,All year once/month,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Initial,Arizona,10001-20000 sf,95.0,per cut,All year once/month,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
HUD,Grass Cut - Recut,Arizona,1-10000 sf,70.0,per cut,All year once/month,HUD Mortgagee Letter 2016-02,2016-02-01,1,Verified Official,Direct from HUD Mortgagee Letter 2016-02,
